x1,x2,x3,x4,x5,x6,x7,x8,x9
90.2,10,41.9174,44.9,1610,9.44,56.2,5.82,553
16.6,28,267.895,48.6,9930,4.49,76.3,1.65,4090
27.3,38.4,185.982,31.4,12900,16.1,76.5,2.89,4460
119,62.3,100.605,42.9,5900,22.4,60.1,6.16,3530
10.3,45.5,735.66,58.9,19100,1.44,76.8,2.13,12200
14.5,18.9,834.3,16,18700,20.9,75.8,2.37,10300
18.1,20.8,141.68,45.3,6700,7.77,73.3,1.69,3220
39.2,54.3,343.392,20.7,16000,13.8,69.1,1.92,5840
13.8,35,2209.2,43.7,22900,-0.393,73.8,1.86,28000
8.6,69.5,1028.79,50.9,41100,7.44,76,2.16,20700
49.4,16,26.6816,21.8,2440,7.14,70.4,2.33,758
14.2,39.5,1275.2,48.7,15300,0.321,76.7,1.78,16000
5.5,51.4,338.283,64.5,16200,15.1,70.4,1.49,6030
18.8,58.2,225.68,57.5,7880,1.14,71.4,2.71,4340
111,23.8,31.078,37.2,1820,0.885,61.8,5.36,758
42.7,42.5,113.36,70.7,6420,5.99,72.1,2.38,2180
46.6,41.2,95.832,34.3,5410,8.78,71.6,3.2,1980
6.9,29.7,511.71,51.3,9720,1.4,76.8,1.31,4610
52.5,43.6,527.05,51.3,13300,8.92,57.1,2.88,6350
19.8,10.7,1009.12,11.8,14500,8.41,74.2,1.8,11200
10.8,50.2,469.908,53,15300,1.11,73.9,1.57,6840
116,19.2,38.755,29.6,1430,6.81,57.9,5.87,575
93.6,8.92,26.796,39.2,764,12.3,57.7,6.26,231
44.4,54.1,44.6448,59.5,2520,3.12,66.1,2.88,786
108,22.2,67.203,27,2660,1.91,57.3,5.11,1310
26.5,32.7,135.379,61.8,5830,0.505,72.5,2.67,3310
149,11.8,17.7508,26.5,888,2.01,47.5,5.21,446
150,36.8,40.6341,43.5,1930,6.39,56.5,6.59,897
8.7,37.7,1026.84,31.3,19400,8.96,79.1,1.88,12900
15.7,26.3,231.192,22.6,9530,6.94,74.6,1.59,4560
18.6,15.9,474.375,17.8,10900,3.86,76.4,2.01,6250
88.2,16.5,34.6819,51.7,1410,3.87,65.9,4.75,769
116,41.1,26.4194,49.6,609,20.8,57.5,6.54,334
63.9,85.1,67.404,54.7,5190,20.7,60.4,4.95,2740
10.2,33.2,893.8,35,13000,6.57,80.4,1.92,8200
111,50.6,64.66,43.3,2690,5.39,56.3,5.27,1220
5.5,37.6,1047.6,38.1,20100,0.821,76.3,1.55,13500
